15,50,25214,8433.5,75.393
35,50,24994,8519,75.277
55,50,25018,8536.1,74.938
75,50,25134,8534.6,74.784
95,50,25046,8414.8,74.849
115,55,25356,8426.1,74.7
135,55,24852,8418.2,74.641
155,45,25043,8442.1,74.916
175,45,25029,8496.5,74.832
195,45,25108,8532.1,75.138
215,50,24834,8499.8,74.958
235,50,24951,8547.9,74.552
255,50,25012,8527.8,75.142
275,50,25016,8489.2,74.966
295,50,24817,8531,74.539
315,50,25008,8554.5,74.152
335,50,25143,8559.3,73.35
355,65,24925,8495.8,73.321
375,65,24948,8512.9,73.155
395,65,24766,8561.2,73.222
415,65,24977,8491.5,73.207
435,65,25130,8452.8,73.453
455,65,25230,8445.1,73.559
475,70,25122,8567.9,73.678
495,70,24959,8473.3,73.31
515,60,25038,8508.9,73.911
535,60,25062,8526,74.035
555,60,25179,8524.6,73.838
575,60,24792,8455.1,73.838
595,60,24797,8515.5,73.581
615,70,25194,8458.4,72.726
635,70,24938,8481.7,72.572
655,70,24925,8486.4,73.022
675,70,24855,8472.6,73.967
695,70,25027,8489.7,73.3
715,45,25296,8488.3,74.201
735,45,25056,8517.7,74.778
755,45,24912,8429.3,74.805
775,45,25010,8471.6,74.874
795,45,25052,8494.8,74.636
815,40,24890,8549.1,74.618
835,40,24820,8485.8,74.521
855,65,24992,8402.5,73.658
875,65,24656,8501.4,73.056
895,65,25021,8481.4,73.618
915,65,25175,8592.4,73.599
935,65,24975,8584.5,73.004
955,65,25319,8508,72.693
975,65,25152,8512.7,72.78
995,65,25390,8599.3,73.289
1015,85,25106,8516,72.621
1035,85,24926,8564.3,72.719
1055,85,24837,8444.9,72.725
1075,85,24991,8505.4,72.647
1095,85,25089,8497.8,72.514
1115,35,24982,8521.1,74.943
1135,35,25117,8525.8,74.878
1155,35,25197,8462.5,75.021
1175,35,24923,8579.3,75.211
1195,35,24891,8527.7,75.021
1215,35,24802,8507.7,74.877
1235,60,25105,8418.9,73.803
1255,60,24755,8510.9,73.934
1275,60,24798,8534.2,72.985
1295,60,24934,8489.5,72.83
1315,60,24864,8475.7,72.883
1335,25,25036,8542.3,74.533
1355,25,25004,8491.4,74.945
1375,25,25065,8471.4,74.457
1395,25,24771,8582,74.177
1415,65,25168,8474.7,72.806
1435,65,24913,8497.9,72.744
1455,65,25197,8502.6,72.736
1475,65,24978,8488.9,71.882
1495,65,25002,8505.9,72.259
